angle_deg,bonds,angles,dihedrals,vdw,total
-78.0000,0.395258,0.608629,0.853109,0.200858,2.057854
-77.0000,0.395258,0.608629,0.873818,0.208644,2.086348
-76.0000,0.395258,0.608629,0.893587,0.217417,2.114890
-75.0000,0.395258,0.608629,0.912362,0.227234,2.143483
-74.0000,0.395258,0.608629,0.930093,0.238157,2.172137
-73.0000,0.395258,0.608629,0.946731,0.250251,2.200869
-72.0000,0.395258,0.608629,0.962229,0.263587,2.229703
-71.0000,0.395258,0.608629,0.976547,0.278240,2.258673
-70.0000,0.395258,0.608629,0.989643,0.294289,2.287819
-69.0000,0.395258,0.608629,1.001483,0.311821,2.317191
-68.0000,0.395258,0.608629,1.012034,0.330926,2.346847
-67.0000,0.395258,0.608629,1.021267,0.351701,2.376854
-66.0000,0.395258,0.608629,1.029156,0.374247,2.407290
-65.0000,0.395258,0.608629,1.035681,0.398671,2.438238
-64.0000,0.395258,0.608629,1.040823,0.425085,2.469795
-63.0000,0.395258,0.608629,1.044568,0.453608,2.502063
-62.0000,0.395258,0.608629,1.046906,0.484361,2.535154
-61.0000,0.395258,0.608629,1.047830,0.517470,2.569187
-60.0000,0.395258,0.608629,1.047339,0.553062,2.604288
-59.0000,0.395258,0.608629,1.045432,0.591270,2.640589
-58.0000,0.395258,0.608629,1.042116,0.632223,2.678226
-57.0000,0.395258,0.608629,1.037400,0.676051,2.717338
-56.0000,0.395258,0.608629,1.031296,0.722882,2.758065
-55.0000,0.395258,0.608629,1.023822,0.772837,2.800546
-54.0000,0.395258,0.608629,1.014997,0.826030,2.844913
-53.0000,0.395258,0.608629,1.004846,0.882563,2.891296
-52.0000,0.395258,0.608629,0.993397,0.942527,2.939810
-51.0000,0.395258,0.608629,0.980680,1.005991,2.990559
-50.0000,0.395258,0.608629,0.966732,1.073008,3.043627
-49.0000,0.395258,0.608629,0.951590,1.143602,3.099079
-48.0000,0.395258,0.608629,0.935296,1.217770,3.156953
-47.0000,0.395258,0.608629,0.917895,1.295476,3.217257
-46.0000,0.395258,0.608629,0.899433,1.376646,3.279966
-45.0000,0.395258,0.608629,0.879962,1.461169,3.345017
-44.0000,0.395258,0.608629,0.859535,1.548887,3.412308
-43.0000,0.395258,0.608629,0.838208,1.639599,3.481693
-42.0000,0.395258,0.608629,0.816039,1.733055,3.552981
-41.0000,0.395258,0.608629,0.793090,1.828959,3.625936
-40.0000,0.395258,0.608629,0.769423,1.926966,3.700276
-39.0000,0.395258,0.608629,0.745103,2.026686,3.775676
-38.0000,0.395258,0.608629,0.720196,2.127686,3.851769
-37.0000,0.395258,0.608629,0.694772,2.229495,3.928153
-36.0000,0.395258,0.608629,0.668899,2.331609,4.004394
-35.0000,0.395258,0.608629,0.642649,2.433500,4.080035
-34.0000,0.395258,0.608629,0.616093,2.534623,4.154603
-33.0000,0.395258,0.608629,0.589304,2.634427,4.227618
-32.0000,0.395258,0.608629,0.562356,2.732365,4.298608
-31.0000,0.395258,0.608629,0.535323,2.827902,4.367112
-30.0000,0.395258,0.608629,0.508279,2.920532,4.432698
-29.0000,0.395258,0.608629,0.481297,3.009784,4.494968
-28.0000,0.395258,0.608629,0.454452,3.095233,4.553572
