# Selected AMBER GAFF2 parameters: c c2 c3 c1 ca ce hc ha hn ho n4 o oh cl br f
# Source: gaff2.dat (AmberTools 25, Version 2.2.20, March 2021)
#
# Atom types
#   c   = Sp2 C carbonyl group
#   c1  = Sp C (alkyne)
#   c2  = Sp2 C (non-aromatic, non-conjugated)
#   c3  = Sp3 C
#   ca  = Sp2 C in pure aromatic systems
#   ce  = Inner Sp2 C in conjugated systems
#   ha  = H bonded to sp2/sp C
#   hc  = H bonded to aliphatic C without electronegative groups
#   hn  = H bonded to N
#   ho  = H in hydroxyl group
#   n4  = Sp3 N with four connected atoms
#   o   = O with one connected atom (carbonyl)
#   oh  = O in hydroxyl group
#   cl  = Chlorine
#   br  = Bromine
#   f   = Fluorine

# Bond term:  E = K_r * (r - r_eq)^2
# format: type_i  type_j  K_r [kcal/mol/A^2]  r_eq [A]
[bonds]
f  c3 hc   66.6000  108.92
ha c2 ha   34.6600  116.66
ha ca ca   44.9000  119.88
ha ca ce   43.6900  115.03
ha ce ca   43.6900  115.03
ha ce ce   43.8700  116.62
hc c2 hc   37.4000  118.9200
hc c2 oh   64.1000  116.2200
hc c3 hc   35.8000  107.7300
hc c3 n4   60.1000  107.90
hc c3 oh   62.8000  109.5000
hn n4 hn   40.0000  108.30
ho oh ho   55.8900  106.5700
ho oh o   77.8500  97.9900
ho oh oh   80.9400  99.7000
o  c2 o   122.3000  121.6900
o  c2 oh   102.8400  121.2300
o  c3 o   113.5000  122.3000
o  c3 oh   100.0300  112.3900
o  c  o   104.9400  130.1600
o  c  oh   102.0300  122.0900
oh c2 oh   101.7000  114.3100
oh c3 oh   97.8200  109.7500
oh c  oh   116.3000  110.5600

# Dihedral term:  E = (Vn/divider) * (1 + cos(n*phi - gamma))
# format: type_i  type_j  type_k  type_l  divider  Vn [kcal/mol]  gamma [deg]  n
# X = wildcard; multi-term dihedrals repeat the same key
[dihedrals]
X  c  c  X   4   1.2000  180.0000  2
X  c  c2 X   4   8.7000  180.0000  2
X  c  c3 X   6   0.0000  180.0000  2
X  c  oh X   2   4.6000  180.0000  2
X  c2 c2 X   4   26.6000  180.0000  2
X  c2 c3 X   6   0.0000  0.0000  2
X  c2 oh X   2   2.1000  180.0000  2
X  c3 c3 X   9   1.4000  0.0000  3
X  c3 ca X   6   0.0000  0.0000  2
X  c3 n4 X   9   1.4000  0.0000  3
X  c3 oh X   3   0.5000  0.0000  3
X  ca ca X   4   14.5000  180.0000  2
X  ca oh X   2   1.8000  180.0000  2
X  ce ce X   4   4.0000  180.0000  2
X  oh oh X   1   1.6000  0.0000  2
c3 c  c  c3   1   0.5120  180.0000  2
o  c  c2 c2   1   2.1750  180.0000  2
o  c  c2 c2   1   0.3000  0.0000  3
c3 c  c3 c3   1   0.2620  180.0000  2
c3 c  c3 hc   1   0.0000  180.0000  3
o  c  c3 c    1   0.5600  0.0000  1
o  c  c3 c    1   0.0800  180.0000  3
o  c  c3 c3   1   0.2000  180.0000  2
o  c  c3 c3   1   0.4400  180.0000  3
o  c  c3 c3   1   0.6800  0.0000  1
o  c  c3 hc   1   4.0300  0.0000  1
o  c  c3 hc   1   3.6600  180.0000  2
c3 c  oh ho   1   1.8000  180.0000  2
o  c  oh ho   1   2.3000  180.0000  2
o  c  oh ho   1   1.9000  0.0000  1
c3 c2 c2 c3   1   5.7800  180.0000  2
c3 c2 c2 c3   1   0.1500  0.0000  1
c3 c2 c2 c3   1   1.3300  180.0000  3
c2 c2 c3 c2   1   1.1400  0.0000  1
c2 c2 c3 hc   1   0.2600  180.0000  3
c3 c2 c3 hc   1   0.1500  0.0000  3
c2 c2 oh ho   1   1.2800  180.0000  2
c3 c2 oh ho   1   3.2100  180.0000  1
c3 c2 oh ho   1   0.5900  0.0000  3
c3 c2 oh ho   1   1.9600  180.0000  2
br c3 c3 br   1   2.4000  0.0000  3
br c3 c3 hc   1   0.1900  0.0000  3
c  c3 c3 c    9   2.0000  180.0000  3
c  c3 c3 c    1   0.3700  0.0000  2
c  c3 c3 c    1   1.2000  0.0000  1
c  c3 c3 c3   1   0.0000  0.0000  3
c  c3 c3 c3   1   0.0400  0.0000  2
c  c3 c3 c3   1   0.4600  180.0000  1
c  c3 c3 oh   1   0.4700  180.0000  1
c3 c3 c3 c3   1   0.5200  0.0000  3
c3 c3 c3 hc   1   0.1300  0.0000  3
c3 c3 c3 oh   1   0.1800  0.0000  3
c3 c3 ca ca   1   0.2400  180.0000  2
c3 c3 n4 c3   1   0.1560  0.0000  3
ca c3 n4 c3   1   0.1560  0.0000  3
ca c3 n4 c3   1   0.7000  0.0000  2
ca ca c3 hc   1   0.0000  0.0000  1
ca ca ce c3   1   0.6000  180.0000  2
ca ca ce ca   1   0.8050  180.0000  2
ca ca ce ce   1   1.2900  180.0000  2
ca ca n4 c3   1   1.4950  0.0000  2
ca ca oh ho   1   0.8550  180.0000  2
cl c3 c3 cl   1   1.4200  0.0000  3
cl c3 c3 hc   1   0.1800  0.0000  3
f  c3 c3 f    1   1.8100  0.0000  2
f  c3 c3 hc   1   0.0900  0.0000  3
hc c3 c3 hc   1   0.1200  0.0000  3
hc c3 c3 oh   1   0.0900  0.0000  3
hc c3 ca ca   1   0.0000  0.0000  1
oh c3 c3 oh   1   1.4400  0.0000  3
oh c3 c3 oh   1   1.0000  0.0000  1
c3 c3 oh ho   1   0.0600  0.0000  3
oh c3 oh ho   1   1.6400  0.0000  2
ho oh oh ho   1   1.1200  0.0000  2
# --- improper dihedrals (divider always 1) ---
X  o  c  o    1   1.1000  180.0000  2
X  X  c  o    1   10.5000  180.0000  2
X  X  ca ha   1   1.1000  180.0000  2
c  c2 c2 c3   1   1.1000  180.0000  2
c2 c  c2 c3   1   1.1000  180.0000  2
c2 c3 c2 hc   1   1.1000  180.0000  2
c2 hc c  o    1   1.1000  180.0000  2
c3 o  c  oh   1   1.1000  180.0000  2
hc o  c  oh   1   1.1000  180.0000  2

# vdW term:  E = eps_ij * [(R*_ij/r)^12 - 2*(R*_ij/r)^6]
# format: type  R_star [A]  epsilon [kcal/mol]
[vdw]
c1   1.9525  0.1596
c2   1.8606  0.0988
c3   1.9069  0.1078
c    1.8606  0.0988
ca   1.8606  0.0988
ce   1.8606  0.0988
f    1.7029  0.0832
ha   1.4735  0.0161
hc   1.4593  0.0208
hn   0.6210  0.0100
ho   0.3019  0.0047
n4   1.4028  3.8748
o    1.7107  0.1463
oh   1.8200  0.0930
cl   1.9452  0.2638
br   2.0275  0.3932
